SERVICEREQUESTID,STREETADDRESS,CITY,STATE,ZIPCODE,SERVICECODE,SERVICECODEDESCRIPTION,SERVICETYPECODEDESCRIPTION,ORGANIZATIONACRONYM,SERVICECALLCOUNT,ADDDATE,RESOLUTIONDATE,SERVICEDUEDATE,SERVICEORDERDATE,INSPECTIONFLAG,INSPECTIONDATE,INSPECTORNAME,SERVICEORDERSTATUS,STATUS_CODE,PRIORITY,DETAILS,WARD,XCOORD,YCOORD,LATITUDE,LONGITUDE,MARADDRESSREPOSITORYID,GIS_ID,GLOBALID,CREATED,EDITED,GDB_FROM_DATE,GDB_TO_DATE,GDB_ARCHIVE_OID,OBJECTID
25-00000002,1438 K STREET SE,WASHINGTON,DC,20003.0,S0031,Bulk Collection,SWMA- Solid Waste Management Admistration,DPW,1,1735708943000,1737823859000.0,1736485140000,1735708943000,,,,Closed,,Standard,,Ward 6,401366.06,134524.87,38.87855545,-76.98425653,63442,,{2AA431E0-F9C7-766F-E063-792F520A1480},,,1735748345000,253402300799000,4419202,11865239
25-00000003,1511 PARK ROAD NW,WASHINGTON,DC,20010.0,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,1735709029000,1735710161000.0,1735795429000,1735709029000,,,,Closed,,Standard,,Ward 1,396942.87,140394.80000000002,38.93142958,-77.03525872,234437,,{2AA431E0-F9C8-766F-E063-792F520A1480},,,1735748345000,253402300799000,4419203,11865240
25-00000004,3614 MACOMB STREET NW,WASHINGTON,DC,20016.0,S0031,Bulk Collection,SWMA- Solid Waste Management Admistration,DPW,1,1735709053000,1736876780000.0,1736571540000,1735709053000,,,,Closed,,Standard,,Ward 3,393757.08,140604.28,38.93329944,-77.0720032,328204,,{2AA431E0-F9C9-766F-E063-792F520A1480},,,1735748345000,253402300799000,4419204,11865241
25-00000005,1728 16TH STREET SE,WASHINGTON,DC,20020.0,S0031,Bulk Collection,SWMA- Solid Waste Management Admistration,DPW,1,1735709339000,1737655039000.0,1736398740000,1735709339000,,,,Closed,,Standard,,Ward 8,401561.8,133400.44,38.86842581,-76.98200323,56949,,{2AA431E0-F9CA-766F-E063-792F520A1480},,,1735748345000,253402300799000,4419205,11865242
25-00000007,327 K STREET NE,WASHINGTON,DC,20002.0,S0031,Bulk Collection,SWMA- Solid Waste Management Admistration,DPW,1,1735709394000,1737810944000.0,1736485140000,1735709394000,,,,Closed,,Standard,,Ward 6,399909.21,137153.67,38.90223772,-77.00104668,37329,,{2AA431E0-F9CB-766F-E063-792F520A1480},,,1735748345000,253402300799000,4419206,11865243
25-00000008,116 3RD STREET NE,WASHINGTON,DC,20002.0,S0031,Bulk Collection,SWMA- Solid Waste Management Admistration,DPW,1,1735709494000,1737819048000.0,1736485140000,1735709494000,,,,Closed,,Standard,,Ward 6,399802.77,135958.44,38.89147064,-77.00227343,277613,,{2AA431E0-F9CC-766F-E063-792F520A1480},,,1735748345000,253402300799000,4419207,11865244
25-00000010,238 35TH STREET NE,WASHINGTON,DC,20019.0,S0457,Tree Inspection,Urban Forrestry,DDOT,1,1735709718000,1735792094000.0,1736314518000,1735709718000,,,,Closed,,Standard,,Ward 7,404091.48,136164.64,38.89331867,-76.95283704,47928,,{2AA431E0-F9CD-766F-E063-792F520A1480},,,1735748345000,253402300799000,4419208,11865245
25-00000011,901 4TH STREET SE,WASHINGTON,DC,20003.0,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,1735709983000,1735710119000.0,1735796382000,1735709983000,,,,Closed,,Standard,,Ward 8,399933.37,134589.17,38.87913575,-77.0007679,308418,,{2AA431E0-F9CE-766F-E063-792F520A1480},,,1735748345000,253402300799000,4419209,11865246
25-00000012,201 - 299 BLOCK OF 35TH STREET NE,WASHINGTON,DC,20019.0,S0457,Tree Inspection,Urban Forrestry,DDOT,1,1735710104000,1735792098000.0,1736314904000,1735710104000,,,,Closed,,Standard,,Ward 7,404117.15,136160.67999999,38.89328254,-76.95254117,802275,,{2AA431E0-F9CF-766F-E063-792F520A1480},,,1735748345000,253402300799000,4419210,11865247
25-00000013,621 KEEFER PLACE NW,WASHINGTON,DC,20010.0,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,1735710722000,1735838097000.0,1736315522000,1735710722000,,,,Closed,,Standard,,Ward 1,398086.84,140335.94,38.93090259,-77.02206484,228936,,{2AA431E0-F9D0-766F-E063-792F520A1480},,,1735748345000,253402300799000,4419211,11865248
25-00000014,1129 COLUMBIA ROAD NW,WASHINGTON,DC,20009.0,COMPOSTM,Missed Curbside Compost Collection,,DPW,1,1735711178000,1749839721000.0,1736143178000,1735711178000,,,,Closed,,Standard,,Ward 1,397523.8,140004.02,38.92791081,-77.02855729,231462,,{2AA431E0-F9D1-766F-E063-792F520A1480},,,1735748345000,253402300799000,4419212,11865569
25-00000016,312 R STREET NW,WASHINGTON,DC,20001.0,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,1735712089000,1735719332000.0,1735798489000,1735712089000,,,,Closed,,Standard,,Ward 5,398611.63,138284.76,38.91242588,-77.01600819,237651,,{2AA431E0-F9D2-766F-E063-792F520A1480},,,1735748345000,253402300799000,4419213,11865570
25-00000017,5801 DIX STREET NE,WASHINGTON,DC,20019.0,SIGNMISS_v2,Roadway Signs,,DDOT,1,1735712225000,1735828701000.0,1752128225000,1735712225000,,,,Closed,,Standard,,Ward 7,407148.91000000003,136271.86000000002,38.894265,-76.9175926,6493,,{2AA431E0-F9D3-766F-E063-792F520A1480},,,1735748345000,253402300799000,4419214,11865571
25-00000020,64 H STREET SW,WASHINGTON,DC,20024.0,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,1735713912000,1735719279000.0,1735800312000,1735713912000,,,,Closed,,Standard,,Ward 6,399007.54000000004,134691.85,38.88005984,-77.01143807,334683,,{2AA431E0-F9D4-766F-E063-792F520A1480},,,1735748345000,253402300799000,4419215,11865572
